train_loss,epoch,step,val_loss,val_mse,train_mse,test_mse
0.11870842427015305,0,49,,,,
,0,61,0.22063840925693512,0.22063840925693512,,
,0,61,,,0.3185313940048218,
0.16088546812534332,1,99,,,,
,1,123,0.16935203969478607,0.16935203969478607,,
,1,123,,,0.21362465620040894,
0.08810412138700485,2,149,,,,
,2,185,0.16643361747264862,0.16643361747264862,,
,2,185,,,0.19911672174930573,
0.1703338623046875,3,199,,,,
,3,247,0.23454496264457703,0.23454496264457703,,
,3,247,,,0.19984783232212067,
0.13087576627731323,4,249,,,,
0.6382334232330322,4,299,,,,
,4,309,0.19259661436080933,0.19259661436080933,,
,4,309,,,0.23795071244239807,
0.11122298240661621,5,349,,,,
,5,371,0.31235069036483765,0.31235069036483765,,
,5,371,,,0.1939818561077118,
0.0930970087647438,6,399,,,,
,6,433,0.1550995111465454,0.1550995111465454,,
,6,433,,,0.16940058767795563,
0.23201102018356323,7,449,,,,
,7,495,0.14855743944644928,0.14855743944644928,,
,7,495,,,0.16123883426189423,
0.12470853328704834,8,499,,,,
0.06732921302318573,8,549,,,,
,8,557,0.17191819846630096,0.17191819846630096,,
,8,557,,,0.1692943125963211,
0.12133263796567917,9,599,,,,
,9,619,0.19478212296962738,0.19478212296962738,,
,9,619,,,0.17096546292304993,
,10,620,0.17614951729774475,0.17614951729774475,,
,10,620,0.19478212296962738,0.19478212296962738,,
,10,620,,,,0.2045161873102188
